,date,offense,latitude,longitude
1475,2019-01-09T14:30:00.000,CRIMINAL MISCHIEF,"{'latitude': '32.824561519509814', 'longitude': '-97.05316198638114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1476,2019-01-09T14:35:45.000,SEX REGISTRATION,"{'latitude': '32.68328725290593', 'longitude': '-97.32120306886513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21
1477,2019-01-09T14:52:13.000,FRAUD,"{'latitude': '32.62746885122667', 'longitude': '-97.32214956416848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7
1478,2019-01-09T15:00:00.000,PENAL CODE,"{'latitude': '32.70950876520753', 'longitude': '-97.33559439525595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13
1479,2019-01-09T15:04:29.000,THEFT,"{'latitude': '32.76646285529884', 'longitude': '-97.21221240867762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23
1480,2019-01-09T15:13:57.000,THEFT,"{'latitude': '32.833030533849765', 'longitude': '-97.03975617585078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18
1481,2019-01-09T15:30:00.000,NARCOTIC VIOLATIONS,"{'latitude': '32.69996443765421', 'longitude': '-97.26149584023372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7
1482,2019-01-09T15:30:00.000,ASSAULT,"{'latitude': '32.74834635896848', 'longitude': '-97.35222782202725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1483,2019-01-09T15:30:00.000,CRIMINAL MISCHIEF,"{'latitude': '32.80698596161805', 'longitude': '-97.29757556212489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4
1484,2019-01-09T15:30:00.000,THEFT,"{'latitude': '32.73350078854186', 'longitude': '-97.43177661249338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
1485,2019-01-09T15:38:46.000,ASSAULT,"{'latitude': '32.66952085205676', 'longitude': '-97.40013473384002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20
