ReportedDateTime,Location,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft
2022-09-19 20:12:00,10313 W KIEHNAU AV,53224,2522905.617763813585,420416.964260343462,0,0,1,0,0,0,0,0,0,0
2022-09-19 20:00:00,3170 N 13TH ST,53206,2553722.834691091906,399225.356563564390,0,1,0,0,0,0,0,0,0,0
2022-09-19 20:00:00,5601 N LOVERS LANE RD,53225,2519134.409688322805,414166.031462162733,0,0,0,0,0,0,0,0,0,1
2022-09-19 19:45:00,3800 S 75TH ST,53220,2533318.829126009252,361901.377686720341,0,0,1,0,0,0,0,0,0,0
2022-09-19 19:35:00,8301 W MILL RD,53218,2529824.879449857399,419644.460966639221,0,1,0,0,0,0,0,0,0,0
2022-09-19 19:30:00,8833 W MORGAN AV,53228,2528843.337108101696,363792.621566258371,0,0,0,0,0,0,0,0,0,1
2022-09-19 19:00:00,1329 S 19TH ST,53235,2575157.257537554950,359641.506498835981,0,0,0,0,0,0,0,0,0,1
2022-09-19 19:00:00,3901 N 10TH ST,53206,2554687.773568943609,403323.733591802418,0,0,0,0,0,0,0,0,0,1
2022-09-19 18:37:05,3706 N 25TH ST,53206,2549057.727949372493,402094.563791655004,0,1,0,0,0,0,0,0,0,0
2022-09-19 18:30:00,9009 N 75TH ST,53223,2532758.029928146396,437349.677445493639,0,1,0,0,0,0,0,0,0,0
2022-09-19 18:24:48,3237 S 16TH ST,53215,2552211.934832921717,366077.321920100600,0,1,0,0,0,0,0,0,0,0
2022-09-19 17:48:00,7201 N 76TH ST,53223,2532229.540986782871,425031.208695191890,0,1,0,0,0,0,0,0,0,0
2022-09-19 17:45:00,1606 N 35TH ST,53208,2545948.930979513563,389913.258273612708,0,0,0,0,0,0,1,0,0,0
2022-09-19 17:45:00,5234 N 46TH ST,53218,2541991.351626366377,412163.523734070361,0,1,0,0,0,0,0,0,0,0
2022-09-19 17:20:00,7520 W CONGRESS ST,53218,2532545.937053257134,406258.583233408630,0,1,0,0,0,0,0,0,0,0
2022-09-19 17:19:00,556 S LAYTON BL,53215,2548737.019204974174,380738.760624963790,0,1,0,0,0,0,0,0,0,0
2022-09-19 17:00:00,6000 W PORT AV,53223,2537570.867359293625,428814.945807736367,0,0,0,0,0,0,0,0,0,1
2022-09-19 17:00:00,2408 N 35TH ST,53210,2545817.631387248170,394013.900716952980,0,0,0,1,0,0,0,0,0,0
2022-09-19 15:30:00,2800 W NATIONAL AV,53215,2548387.538109635469,379258.901168819517,0,1,0,0,0,0,0,0,0,0
2022-09-19 15:00:00,509 N 27TH ST,53208,2548523.081193409860,384378.137552533299,0,0,1,0,0,0,0,0,0,0
2022-09-19 14:00:00,2537 N 34TH ST,53210,2546119.550856010523,394890.977948240936,0,1,0,0,0,0,0,0,0,0
2022-09-19 13:30:00,4117 N 44TH ST,53216,2542475.758140257560,404466.602705992758,0,1,0,0,0,0,0,0,0,0
2022-09-19 13:00:00,2555 S BAY ST,53207,2563002.434789601248,371149.216651633382,0,0,0,0,0,0,0,0,0,1
2022-09-19 12:40:00,3273 N 17TH ST,53206,2552253.984452895820,399911.148621696979,0,0,0,0,0,0,1,0,0,0
2022-09-19 12:32:22,5866 N SHERMAN BL,53209,2542957.341155991890,416407.889288481325,0,1,0,0,0,0,0,0,0,0
2022-09-19 12:23:00,3000 W BURLEIGH ST,53210,2547406.515611218289,398601.393314786255,0,1,0,0,0,0,0,0,0,0
2022-09-19 11:30:00,7034 N 55TH ST,53223,2538932.026051033288,424400.505195330828,0,1,0,1,0,0,0,0,0,0
2022-09-19 11:30:00,503 N PLANKINTON AV,53203,2558262.957780933939,384563.746171724051,0,0,0,0,0,0,0,0,0,1
2022-09-19 11:20:00,2351 S 9TH PL,53215,2555412.801664260216,371988.328433535993,0,1,0,0,0,0,0,0,0,0
2022-09-19 11:00:00,3906 N SHERMAN BL,53216,2543015.502346369438,403185.095691062510,0,0,0,0,0,0,1,0,0,0
2022-09-19 11:00:00,2027 N 34TH ST,53208,2546166.858524492942,391943.862445186824,0,1,0,0,0,0,0,0,0,0
2022-09-19 11:00:00,8135 W FLORIST AV,53218,2530498.923216436524,416350.799258548766,0,1,0,0,0,0,0,0,0,0
2022-09-19 11:00:00,8135 W FLORIST AV,53218,2530498.923216436524,416350.799258548766,0,1,0,0,0,0,0,0,0,0
2022-09-19 10:00:00,7829 N 6OTH ST,"","","",0,0,0,0,0,0,0,0,0,1
2022-09-19 09:40:00,7810 W CUSTER AV,53218,2531576.477932751179,412975.525856975466,0,1,0,0,0,0,0,0,0,0
2022-09-19 08:00:00,7236 W CRAWFORD AV,53220,2534098.868363948539,361800.775044139475,0,0,0,0,0,1,0,0,0,1
2022-09-19 07:00:00,500 E CENTER ST,53212,2559712.857544834726,396302.261702135205,0,0,0,0,0,0,0,0,1,0
